row,fold,p_raw,raw_asymmetry,y,fight_id,event_date,fighter_a_id,fighter_b_id,weight_class,odds_a,odds_b,q_mkt,a_n_fights,b_n_fights,p_cal,calibrated,p_blend,blended,side,p_side,q_side,edge,dec_odds,won,stake
7534,4,0.3588028848171234,0.02916508913040161,0,1057,2024-06-01,1636,2938,Welterweight,130.0,-175.0,0.4059040590405904,5,19,0.2987551867219917,True,0.3606009138579186,True,b,0.6393990861420814,0.5940959409594095,0.04530314518267187,1.5714285714285714,1,0.002086871722680947
7537,4,0.38696929812431335,0.013632059097290039,0,1060,2024-06-01,1072,1975,Flyweight,225.0,-330.0,0.28618968386023297,0,1,0.36,True,0.23768826014533928,True,b,0.7623117398546607,0.7138103161397671,0.04850142371489363,1.303030303030303,1,0.0
7538,4,0.6405290365219116,0.02621173858642578,1,1055,2024-06-01,4558,3047,Heavyweight,-455.0,250.0,0.7415599534342259,7,8,0.6604361370716509,True,0.7859836909614267,True,a,0.7859836909614267,0.7415599534342259,0.04442373752720086,1.2197802197802199,1,0.0
7540,4,0.30287832021713257,0.08659970760345459,0,1035,2024-06-08,774,437,Middleweight,-100.0,-130.0,0.4693877551020409,16,8,0.24390243902439024,True,0.42478404694545346,True,b,0.5752159530545465,0.5306122448979591,0.04460370815658743,1.7692307692307692,1,0.00574917300636425
7543,4,0.4380936622619629,0.10269951820373535,0,1038,2024-06-08,3330,5029,Middleweight,210.0,-300.0,0.3007518796992481,6,3,0.42857142857142855,True,0.2597058526883475,True,b,0.7402941473116524,0.6992481203007519,0.04104602701090054,1.3333333333333333,1,0.0
7545,4,0.3022536635398865,0.01699244976043701,0,1037,2024-06-08,2119,3285,Bantamweight,200.0,-320.0,0.30434782608695654,3,3,0.24390243902439024,True,0.24397461856848743,True,b,0.7560253814315125,0.6956521739130435,0.060373207518469085,1.3125,1,0.0
7546,4,0.3418390452861786,0.13925951719284058,1,1046,2024-06-08,3320,3722,Strawweight,163.0,-218.0,0.3567662171561918,4,1,0.2987551867219917,True,0.3062067631384417,True,b,0.6937932368615582,0.6432337828438082,0.05055945401775008,1.4587155963302751,0,0.00656562330493878
7551,4,0.3843532204627991,0.0011794567108154297,0,1043,2024-06-08,805,686,Bantamweight,450.0,-750.0,0.1708542713567839,1,6,0.36,True,0.1247685246736255,True,b,0.8752314753263745,0.8291457286432161,0.046085746683158346,1.1333333333333333,1,0.0
7554,4,0.2519181966781616,0.06324779987335205,0,1025,2024-06-15,3454,4393,Bantamweight,130.0,-180.0,0.4034582132564841,12,8,0.24390243902439024,True,0.35004672145412563,True,b,0.6499532785458744,0.5965417867435159,0.05341149180235849,1.5555555555555556,1,0.004967294982112077
7559,4,0.2546098232269287,0.06597018241882324,0,1030,2024-06-15,3619,3160,Flyweight,425.0,-800.0,0.17647058823529413,4,6,0.24390243902439024,True,0.12236197880987051,True,b,0.8776380211901295,0.8235294117647058,0.054108609425423615,1.125,1,0.0
7561,4,0.32773470878601074,0.12428164482116699,1,1032,2024-06-15,4108,2537,Featherweight,260.0,-385.0,0.259219668626403,2,2,0.2987551867219917,True,0.2043242778049757,True,b,0.7956757221950244,0.740780331373597,0.05489539082142736,1.2597402597402598,0,0.0022568131614671065
7568,4,0.6367768049240112,0.029799222946166992,1,1016,2024-06-22,3868,2369,Middleweight,-810.0,400.0,0.8165322580645161,1,0,0.6604361370716509,True,0.8602033243245004,True,a,0.8602033243245004,0.8165322580645161,0.04367106625998429,1.123456790123457,1,0.0
7569,4,0.38573718070983887,0.06496047973632812,0,1018,2024-06-22,1823,4065,Lightweight,175.0,-275.0,0.33149171270718236,14,12,0.36,True,0.28587144568619655,True,b,0.7141285543138034,0.6685082872928176,0.04562026702098576,1.3636363636363638,1,0.0
7570,4,0.3763723373413086,0.042391419410705566,0,1020,2024-06-22,531,180,Welterweight,260.0,-395.0,0.25821596244131456,12,4,0.36,True,0.20890572259864668,True,b,0.7910942774013533,0.7417840375586855,0.0493102398426678,1.2531645569620253,1,0.0
7576,4,0.3962344527244568,0.06300616264343262,0,1005,2024-06-29,1147,1330,Middleweight,250.0,-350.0,0.26865671641791045,12,4,0.4111111111111111,True,0.22413110540233644,True,b,0.7758688945976635,0.7313432835820896,0.04452561101557395,1.2857142857142856,1,0.0
